feeder_id,type,type_code,nozzle,x,y,angle,package,footprint,value,pick_height,pick_delay,place_height,place_delay,vacuum_detection,threshold,vision_alignment,speed,x_offset,y_offset,rotation_offset,extra
25,stack,0,34,25.22,90.99,-90.00,0603,R_0603_1608Metric,0,1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|50|40|No|No|-65|-65|-65|-65|-1|-1|0|0
26,stack,0,34,25.75,104.89,-90.00,,VREG_LP5907SNX-3.0_NOPB,LP5907SNX-3.0_NOPB,1.80,100,3.00,100,Yes,0,1,60,0,0,0,4|50|50|No|No|-65|-65|-65|-65|-1|-1|0|0
27,stack,0,34,24.84,125.96,-90.00,,,,1.80,100,5.20,100,Yes,0,1,20,0,0,0,12|100|100|No|No|-40|-40|-65|-65|-1|-1|0|0
28,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,60,0,0,0,2|10|10|No|No|-40|-40|-40|-40|-1|-1|0|0
29,stack,0,34,26.70,147.42,-180.00,,SON50P300X200X55-9N,BL24CM1A-NTRC,1.90,100,2.80,100,Yes,0,1,60,0,0,0,4|50|60|No|No|-40|-40|-65|-65|-1|-1|0|0
30,stack,0,34,25.15,161.24,90.00,,SOT95P280X145-6N,LM3880MF-1AA_NOPB,1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|50|40|No|No|-40|-65|-65|-65|-1|-1|0|0
31,stack,0,34,25.15,175.19,90.00,,SOT95P280X145-6N,SN74LVC2G34DBVR(UMW),1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|60|50|No|No|-40|-65|-65|-65|-1|-1|0|0
32,stack,0,34,24.98,188.52,90.00,,TSOT-23-8,SY8029AIC,1.80,100,2.80,100,Yes,0,1,60,0,0,0,4|50|50|No|No|-40|-40|-65|-65|-1|-1|0|0
33,stack,0,34,24.72,206.44,-90.00,,,,1.00,100,3.60,100,Yes,0,1,60,0,0,0,8|50|60|No|No|-40|-40|-65|-40|-1|-1|0|0
34,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
35,stack,0,34,25.45,223.96,-90.00,,,,1.80,100,2.80,100,No,0,1,60,0,0,0,4|50|50|No|No|-40|-40|-65|-40|-1|-1|0|0
36,stack,0,3,23.74,239.25,0.00,QFN32,,,1.80,100,2.80,0,Yes,0,1,60,0,0,0,8|80|40|No|No|-40|-40|-60|-40|-1|-1|0|0
37,stack,0,2,24.83,254.78,90.00,,,,1.80,100,2.80,190,No,0,1,60,0,0,0,4|50|60|No|No|-40|-40|-40|-40|-1|-1|0|0
38,stack,0,2,25.11,268.38,90.00,0402,,,1.80,100,1.80,100,No,0,1,60,0,0,0,2|50|50|No|No|-40|-65|-40|-40|-1|-1|0|0
39,stack,0,2,26.99,281.69,90.00,0402,,,1.80,100,2.80,100,Yes,0,1,60,0,0,0,2|50|40|No|No|-40|-65|-40|-40|-1|-1|0|0
40,stack,0,2,27.23,295.83,90.00,0402,,,1.80,100,2.80,100,No,0,1,60,0,0,0,2|50|40|No|No|-40|-65|-40|-40|-1|-1|0|0
41,stack,0,2,27.26,309.40,90.00,0402,,,1.80,100,2.80,100,No,0,1,60,0,0,0,2|50|40|No|No|-40|-65|-40|-40|-1|-1|0|0
42,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,60,0,0,0,2|10|10|No|No|-40|-40|-40|-40|-1|-1|0|0
43,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
44,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
45,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
46,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
47,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
48,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
49,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
50,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
51,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
52,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
53,stack,0,,0.00,0.00,0.00,,,,0.00,0,0.00,0,No,0,0,0,0,0,0,0|0|0|No|No|-40|-40|-40|-40|-1|-1|0|0
54,stack,1,1,185.12,155.43,0.00,,DF40C30DP04V51,DF40C-30DP-0.4V_51_,3.50,100,2.70,100,Yes,-40,3,20,0,0,0,1|8|185.18|155.40|1|1|No|No|-65|-40|-65|-65|-1|-1|0|0
55,stack,1,1,186.58,147.85,0.00,,,,3.50,100,4.50,100,Yes,-40,1,20,0,0,0,1|1|150.00|60.00|1|1|No|No|-65|-40|-65|-20|-1|-1|0|0
56,stack,1,1,187.18,140.05,0.00,,,,3.50,100,4.50,100,Yes,-40,1,50,0,0,0,1|1|150.00|70.00|1|1|No|No|-55|-40|-65|-40|-1|-1|0|0
57,stack,1,1,186.96,131.84,0.00,,,,3.50,100,3.20,100,Yes,-40,1,30,0,0,0,1|1|150.00|80.00|1|1|No|No|-65|-40|-65|-40|-1|-1|0|0
58,stack,1,1,88.62,150.24,0.00,,,,3.50,100,3.20,100,Yes,-40,1,30,0,0,0,1|2|150.00|90.00|1|1|No|No|-65|-40|-65|-40|-1|-1|0|0
59,stack,1,1,88.62,137.24,0.00,,,,3.50,100,3.20,100,Yes,-40,1,30,0,0,0,1|1|150.00|100.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
60,stack,1,1,133.17,151.61,0.00,,,,3.50,100,3.20,100,Yes,-40,1,20,0,0,0,1|1|150.00|110.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
61,stack,1,1,133.08,138.56,0.00,,,,3.50,100,3.20,100,Yes,-40,1,20,0,0,0,1|1|150.00|120.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
62,stack,1,1,103.54,151.59,0.00,,,,3.50,100,3.20,100,Yes,-40,1,20,0,0,0,1|1|150.00|130.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
63,stack,1,1,103.09,138.47,0.00,,,,3.50,100,3.20,100,Yes,-40,1,20,0,0,0,1|1|150.00|140.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
64,stack,1,1,118.40,150.54,90.00,,,,4.00,100,3.40,100,Yes,-40,1,20,0,0,0,1|1|150.00|150.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
65,stack,1,1,118.23,137.32,90.00,,,,4.00,100,3.40,100,Yes,-40,1,20,0,0,0,1|1|150.00|160.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
66,stack,1,1,186.80,155.83,0.00,,,,3.00,100,2.80,100,Yes,-40,1,20,0,0,0,1|1|150.00|170.00|1|1|No|No|-65|-65|-65|-40|-1|-1|0|0
67,stack,1,1,186.84,148.03,0.00,,,,3.40,100,2.80,100,Yes,-40,1,20,0,0,0,1|1|150.00|180.00|1|1|No|No|-65|-65|-40|-40|-1|-1|0|0
68,stack,1,2,156.71,155.43,0.00,,,,5.00,100,2.70,100,No,-40,1,30,0,0,0,1|1|150.00|190.00|1|1|No|No|-40|-65|-40|-40|-1|-1|0|0
69,stack,1,1,157.20,151.40,0.00,,,,5.00,100,2.70,100,No,-40,1,30,0,0,0,1|1|150.00|200.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
70,stack,1,3,133.11,150.55,0.00,,,,5.10,100,2.90,100,No,-40,1,30,0,0,0,1|1|150.00|210.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
71,stack,1,1,150.00,220.00,0.00,,,,5.10,100,2.90,100,No,-40,4,20,0,0,0,1|1|150.00|220.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
72,stack,1,3,118.04,150.54,0.00,,,,4.60,100,2.80,100,No,-40,1,40,0,0,0,1|1|150.00|230.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
73,stack,1,3,118.07,137.38,0.00,,,,4.60,100,2.80,100,No,-40,1,30,0,0,0,1|1|150.00|240.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
